comment,cleaned_comment,sentiment
" @kimi6341  correction, the boss is Nando", kimi6341  correction the boss is nando,Neutral
"It’s about any rival in F1, we can all name a few, I’m sure",its about any rival in f1 we can all name a few im sure,Positive
 @Sam-dk7zl they're def gonna cry at the end, samdk7zl theyre def gonna cry at the end,Neutral
this is peak Mario Kart 👌🏻,this is peak mario kart ,Neutral
That doesn't work on any level,that doesnt work on any level,Neutral
"​ @byTrafiken or more like a mix of Ayumu Uehara, Shioriko Mifune, Alonso, and Sir Hamilton.", bytrafiken or more like a mix of ayumu uehara shioriko mifune alonso and sir hamilton,Positive
"​ @chrystiandefaria5947 Ririsa Amano, Shizuku Osaka and Isack Hadjar.😅", chrystiandefaria5947 ririsa amano shizuku osaka and isack hadjar,Neutral
Same,same,Neutral
😂,,Neutral
"more like hulkenberg and bortoleto,a driver who never got the chance to prove himself vs one of the best rookies",more like hulkenberg and bortoletoa driver who never got the chance to prove himself vs one of the best rookies,Positive
What one’s what?,what ones what,Neutral
But Fernando didn't do GT3 before f1,but fernando didnt do gt3 before f1,Neutral
But it does in a way yeah,but it does in a way yeah,Neutral
More like Nico and Hamilton... That crash at 1:39... Spain 2016,more like nico and hamilton that crash at 139 spain 2016,Positive
Fernando Alonso a has been and a never was?? Dont think so brother 🤣,fernando alonso a has been and a never was dont think so brother ,Neutral
 @kuriaspaul  Renault., kuriaspaul  renault,Neutral
So American,so american,Neutral
I love that this isn’t a fast and furious movie,i love that this isnt a fast and furious movie,Positive
Then who's kimi?,then whos kimi,Neutral
" @kuriaspaul then came lewis, and then sebastian", kuriaspaul then came lewis and then sebastian,Neutral
😅😅😮​ @kuriaspaul 😮, kuriaspaul ,Neutral
Casper akkerman and Aiden Jackson?,casper akkerman and aiden jackson,Neutral
kimi and russel,kimi and russel,Neutral
"Then they should’ve casted them, my opinion.",then they shouldve casted them my opinion,Neutral
"@chrystiandefaria5947 Lance Stroll doesn’t get a movie, he’s a glorified rich boy that got to race a car that’s too powerful for him, he’s not an F1 driver",chrystiandefaria5947 lance stroll doesnt get a movie hes a glorified rich boy that got to race a car thats too powerful for him hes not an f1 driver,Positive
"I think it's about Fernando and his 2026 teammate.
Fernando was young in '07.","i think its about fernando and his 2026 teammate
fernando was young in 07",Positive
i thought it's about Nico Rosberg and Lewis Hamilton,i thought its about nico rosberg and lewis hamilton,Neutral
More like chris tucker and jackie chang,more like chris tucker and jackie chang,Positive
Except the Alonso was a two time and reigning world champion....,except the alonso was a two time and reigning world champion,Neutral
More garbage,more garbage,Positive
It's about nico Rosberg and Hamilton,its about nico rosberg and hamilton,Neutral
 @jbeaulieu92 Hamilton was though, jbeaulieu92 hamilton was though,Neutral
Bro Lewis Hamilton has been in the game like 20+ years 😂,bro lewis hamilton has been in the game like 20 years ,Negative
When did Siri become so accurate,when did siri become so accurate,Positive
Lewis Hamilton is a director in the movie,lewis hamilton is a director in the movie,Neutral
Nahh Lewis is in the movie lol,nahh lewis is in the movie lol,Positive
"Eeh, no.",eeh no,Neutral
Now it has happened ​ @byTrafiken ,now it has happened  bytrafiken ,Neutral
"I've already seen this movie back in 2001. It was called ""Driven"" back then.",ive already seen this movie back in 2001 it was called driven back then,Neutral
"Wow, I came here to see the trailer because I was interested in watching the movie. After seeing this comment, I no longer want to watch the movie lol

I'll wait for the motogp movie that we'll never get","wow i came here to see the trailer because i was interested in watching the movie after seeing this comment i no longer want to watch the movie lol

ill wait for the motogp movie that well never get",Positive
"Alonso doesn`t need that motivation, he has an El Plan.",alonso doesnt need that motivation he has an el plan,Neutral
Apparently Fernando also inspired Brad Pitt's depiction of Benjamin Button.,apparently fernando also inspired brad pitts depiction of benjamin button,Positive
he doesnt need motivation...He just started,he doesnt need motivationhe just started,Neutral
Strulovitch will be there 10000%,strulovitch will be there 10000,Neutral
"of course alonso can still be in F1, he's an up-and-coming rookie after all",of course alonso can still be in f1 hes an upandcoming rookie after all,Neutral
At 60 Alonso will be still a rookie,at 60 alonso will be still a rookie,Neutral
😂,,Neutral
What do mean it's Alonso's Rookie season.,what do mean its alonsos rookie season,Negative
😂,,Neutral
"​ @unameit0000 
0:26 Song name?"," unameit0000 
026 song name",Neutral
hopefully brad pitt's pit pit crew is fast enough in the movie,hopefully brad pitts pit pit crew is fast enough in the movie,Positive
He'll still be driving long past the sequel to this movie.,hell still be driving long past the sequel to this movie,Negative
🤣🤣🤣🤣,,Neutral
Gotta wait until 2041 if Alonso and his new teammate will be canon,gotta wait until 2041 if alonso and his new teammate will be canon,Positive
"Tf are you talking, he's still a rookie",tf are you talking hes still a rookie,Neutral
​@wickedcode6338 What is his el plan? Driving for 10 other teams and not be anywhere?,wickedcode6338 what is his el plan driving for 10 other teams and not be anywhere,Negative
bro Sonny Hayes is literally Alonso,bro sonny hayes is literally alonso,Neutral
It's almost like this is a fictional movie with made up ages,its almost like this is a fictional movie with made up ages,Neutral
"Really don't know why Alonso and Stroll are still on the grid. Ok, Stroll purely because his dad owns the team but Fernando's best days are over and he won't ever win another world championship, so why stay on? I won't be going to see the Brad Pitt film, by the way - it looks awful.",really dont know why alonso and stroll are still on the grid ok stroll purely because his dad owns the team but fernandos best days are over and he wont ever win another world championship so why stay on i wont be going to see the brad pitt film by the way  it looks awful,Positive
" @systemicnutrition6744  no matter how many people makes fun of him, given an equal car to the top contenders he can still be champion even if he's 60", systemicnutrition6744  no matter how many people makes fun of him given an equal car to the top contenders he can still be champion even if hes 60,Positive
Man he is a rookie,man he is a rookie,Neutral
Lol,lol,Positive
​ @robin-kq7un Fernando's best days are over? Do you even actually watch F1 races? 😂, robinkq7un fernandos best days are over do you even actually watch f1 races ,Positive
No one can ever beat the rookie,no one can ever beat the rookie,Neutral
hahahahhahahha xD ! ! !,hahahahhahahha xd   ,Neutral
What you mean he is still rookie he have long time ahead 😂,what you mean he is still rookie he have long time ahead ,Negative
Nasty!,nasty,Negative
Yeah but still looking younger than you at 30,yeah but still looking younger than you at 30,Neutral
Alonso is aging backwards tho,alonso is aging backwards tho,Neutral
Alonso always has new masterplan to boot.,alonso always has new masterplan to boot,Positive
🤣,,Neutral
"Bring it on, Alonso is the man",bring it on alonso is the man,Neutral
And to race GT3/gtd which we all need since it's no longer cup grand touring class just grand touring since gt1 and gt2/e  went the way of the dodo,and to race gt3gtd which we all need since its no longer cup grand touring class just grand touring since gt1 and gt2e  went the way of the dodo,Positive
I hope so! I adore him!  ;-),i hope so i adore him  ,Neutral
 @smitshah950  I always forget that he’s still a rookie., smitshah950  i always forget that hes still a rookie,Neutral
"Alonso is a rookie, what are you talking about.",alonso is a rookie what are you talking about,Neutral
newey car is comin FA again!,newey car is comin fa again,Neutral
"Is his teammate Tom Cruise, another 60+ year old man?",is his teammate tom cruise another 60 year old man,Positive
in The Real World(tm) a 60 year old race car driver has a huge disadvantage compared to his younger competitors.,in the real worldtm a 60 year old race car driver has a huge disadvantage compared to his younger competitors,Positive
"​ @robin-kq7un Fernando just needs a car. Look at him, Hamilton and other old-school folks, they overtake with class.", robinkq7un fernando just needs a car look at him hamilton and other oldschool folks they overtake with class,Negative
"But why would someone want to be on racing road at 60 years old? Like no one ever, unless just going to watch kids play 😑",but why would someone want to be on racing road at 60 years old like no one ever unless just going to watch kids play ,Positive
Sure.  I will watch,sure  i will watch,Positive
I need motivation just to get out of bed 😂,i need motivation just to get out of bed ,Neutral
My dad would have liked this as he liked F1 motor racing on the telly,my dad would have liked this as he liked f1 motor racing on the telly,Positive
Fernando forever!,fernando forever,Neutral
context?​ @ninjistu ,context ninjistu ,Neutral
 @jwork5680  you seem to be confusing me for chatgpt, jwork5680  you seem to be confusing me for chatgpt,Negative
"im 45, never raced before.......this movie has actually inspired me to go be the next Tom Kite",im 45 never raced beforethis movie has actually inspired me to go be the next tom kite,Neutral
Fleetwood Mac - the chain​,fleetwood mac  the chain,Neutral
The Chain by Fleetwod Mac.,the chain by fleetwod mac,Neutral
Alonso is irrelevant he was longtime ago important part of F1 u guys live in the past that's your problem wake up!!!,alonso is irrelevant he was longtime ago important part of f1 u guys live in the past thats your problem wake up,Negative
😂😂 classic, classic,Positive
Hats off! Most underrated comment here.,hats off most underrated comment here,Positive
😂😂😂,,Neutral
👏👏👏👏,,Neutral
"Looking forward to an Easter egg, Brad’s character comes into the pit and we see a bunch of celebrities in the garage, but only get a glimpse of Gwyneth Paltrow’s head.",looking forward to an easter egg brads character comes into the pit and we see a bunch of celebrities in the garage but only get a glimpse of gwyneth paltrows head,Neutral
😂😂😂,,Neutral
Uhhh gran referencia a 7,uhhh gran referencia a 7,Neutral
You just won the internet. 🎉,you just won the internet ,Neutral
Comment of the Year,comment of the year,Neutral
It's just never gets old 😂,its just never gets old ,Positive
Traumatic memory unlocked,traumatic memory unlocked,Neutral
Bruh spoilers,bruh spoilers,Neutral
You win the internets for today,you win the internets for today,Positive
+1 you won the internet today,1 you won the internet today,Neutral
Se7en 🤣,se7en ,Neutral
Top comment bruh 😂😂😂,top comment bruh ,Positive
😂😂❤❤,,Neutral
You did it!,you did it,Neutral
✋ Absolute Glinema 🤚, absolute glinema ,Positive
omfg that's the comment of the century right here xD,omfg thats the comment of the century right here xd,Positive
Beer through Nose... Its going to take a while for that comment to be beat.,beer through nose its going to take a while for that comment to be beat,Neutral
😂😂😂😂 what's in the gotdamb box, whats in the gotdamb box,Neutral
"Radio: I meant Pit! Pit!
Brad: Yeah that's me!","radio i meant pit pit
brad yeah thats me",Neutral
Comment of the day!,comment of the day,Neutral
Don't get it,dont get it,Neutral
😂😂,,Neutral
Gold!!,gold,Neutral
hahahahha his denture,hahahahha his denture,Neutral
Schrödinger’s cat,schrdingers cat,Neutral
LOL,lol,Positive
"Box now, Box, Box Box",box now box box box,Neutral
This was perfect 👌🏽,this was perfect ,Positive
Absolute classic reference!,absolute classic reference,Positive
10/10,1010,Neutral
No way 😂,no way ,Neutral
Kkkkkk,kkkkkk,Neutral
​ @eefneleman9564 Shizuku Osaka to Brad: Whats in the box btw?, eefneleman9564 shizuku osaka to brad whats in the box btw,Neutral
​ @matthewbryant1276 i think that makes sense btw., matthewbryant1276 i think that makes sense btw,Neutral
😂,,Neutral
😂😂😂😂😂,,Neutral
You get the award my friend,you get the award my friend,Neutral
Elmo no want to put hand in box! 😂,elmo no want to put hand in box ,Neutral
90s vibe,90s vibe,Neutral
I don't care who you are! That's funny!,i dont care who you are thats funny,Positive
"Well done sir. Here, please accept my like.",well done sir here please accept my like,Neutral
😂,,Neutral
Not funny,not funny,Negative
"oh stop, Pit...",oh stop pit,Neutral
😂,,Neutral
Legendary comment. I'm stealing 😂😂😂,legendary comment im stealing ,Positive
😂😂😂😂,,Neutral
Incredible comment 😂😂,incredible comment ,Positive
🤣🤣🤣,,Neutral
"You again?
Are you one of those people, who thinks their joke is so funny, that you have to post it on mutiple video's Lol","you again
are you one of those people who thinks their joke is so funny that you have to post it on mutiple videos lol",Positive
"Radio: Box box
60 years old Sonny with hearing problems: Who’s there ?","radio box box
60 years old sonny with hearing problems whos there ",Positive
"In all honesty, he was number seven",in all honesty he was number seven,Neutral
Sean: There's definitely a carrot in my box,sean theres definitely a carrot in my box,Neutral
😂😂😂😂😂,,Neutral
I laughed out loud man 😅,i laughed out loud man ,Positive
📦 🗣️🗣️🗣️🗣️🗣️🔊🔊🔊🙌🙌, ,Neutral
😂😂,,Neutral
"Radio: Box Box 
Brad: You like dogs?","radio box box 
brad you like dogs",Neutral
Is Brad wearing a wig in f1,is brad wearing a wig in f1,Neutral
IMAX is freaking epiccc....but i dont like the storyline.. Ford VS Ferrari is better.,imax is freaking epicccbut i dont like the storyline ford vs ferrari is better,Positive
Agree!!!!❤,agree,Neutral
"They got this movie ,,, from Ford vs Ferrari.",they got this movie  from ford vs ferrari,Neutral
"Wish I saw it in IMAX. But I agree, the cinematography is amazing!",wish i saw it in imax but i agree the cinematography is amazing,Positive
"​ @whybotherha1021 Ford vs Ferrari had a better story, but F1's isn't terrible.", whybotherha1021 ford vs ferrari had a better story but f1s isnt terrible,Negative
4dx.  What a rush!,4dx  what a rush,Neutral
Is it worth watching (in IMAX) because of the visuals alone or nah?,is it worth watching in imax because of the visuals alone or nah,Positive
Just came from seeing it in IMAX… epic !!!,just came from seeing it in imax epic ,Positive
F1 mustve paid a lot for this promo.,f1 mustve paid a lot for this promo,Neutral
"I’m seeing it tomorrow, am I about to experience peak?",im seeing it tomorrow am i about to experience peak,Neutral
 @user-v6m5q  absolutely. The entire movie has the expanded aspect ratio. I haven’t seen it in standard format but with IMAX it felt quite immersive thanks to the cockpit mounted cameras. The sound design is also great in IMAX., userv6m5q  absolutely the entire movie has the expanded aspect ratio i havent seen it in standard format but with imax it felt quite immersive thanks to the cockpit mounted cameras the sound design is also great in imax,Positive
@B1_roger_rogerwas it?,b1rogerrogerwas it,Neutral
 @willREIspy  definitely., willreispy  definitely,Neutral
😂😂😂,,Neutral
😭😭😭,,Neutral
Boom 😂😂😂😂😂,boom ,Neutral
Ouch,ouch,Neutral
lol,lol,Positive
emotional damage,emotional damage,Neutral
"Nah, if it's a reference to anything, it's a reference to Kurt Busch vs. Jimmy Spencer.

Subtle 20-year-old NASCAR reference in an F1 movie also featuring IMSA? This might actually be worth seeing. Surely it's gotta be better than the Gran Turismo movie, right?","nah if its a reference to anything its a reference to kurt busch vs jimmy spencer

subtle 20yearold nascar reference in an f1 movie also featuring imsa this might actually be worth seeing surely its gotta be better than the gran turismo movie right",Positive
That’s cold.,thats cold,Negative
brooooo there's no way,brooooo theres no way,Neutral
😂,,Neutral
It's a sad life being a keyboard warrior,its a sad life being a keyboard warrior,Negative
Sonny hayes checking out the gravel trap he set for stroll,sonny hayes checking out the gravel trap he set for stroll,Neutral
what have you achieved in life compare to lance,what have you achieved in life compare to lance,Neutral
Coach Riley in mighty ducks,coach riley in mighty ducks,Positive
I’m sure he had a hard time resisting licking  all the shiny glass camera lenses,im sure he had a hard time resisting licking  all the shiny glass camera lenses,Positive
"Bro I will not accept this Stroll slander, he has 3 podiums and a pole to his name >:(",bro i will not accept this stroll slander he has 3 podiums and a pole to his name ,Neutral
